"pitcher","team","abbreviation","throws","era","fip","xfip","siera"
"Bryan Woo","Seattle Mariners","SEA","","4.56","3.20","",""
"Bryce Miller","Seattle Mariners","SEA","","2.80","3.77","",""
"Cole Wilcox","Seattle Mariners","SEA","","3.16","3.76","",""
"Cooper Criswell","Seattle Mariners","SEA","","3.52","3.75","",""
"Domingo Gonzalez","Seattle Mariners","SEA","","4.70","5.44","",""
"Eduard Bazardo","Seattle Mariners","SEA","","3.31","3.83","",""
"Emerson Hancock","Seattle Mariners","SEA","","3.20","3.70","",""
"Gabe Speier","Seattle Mariners","SEA","","1.84","4.08","",""
"George Kirby","Seattle Mariners","SEA","R","3.76","3.58","",""
"José A. Ferrer","Seattle Mariners","SEA","","3.35","3.97","",""
"Josh Simpson","Seattle Mariners","SEA","","9.00","11.76","",""
"Logan Gilbert","Seattle Mariners","SEA","","3.46","3.41","",""
"Luis Castillo","Seattle Mariners","SEA","","5.06","4.57","",""
"Matt Brash","Seattle Mariners","SEA","","0.54","2.92","",""
"Michael Rucker","Seattle Mariners","SEA","","4.35","3.68","",""
"Nick Davila","Seattle Mariners","SEA","","3.57","4.73","",""
"Adrian Houser","San Francisco Giants","SF","","4.71","5.00","",""
"Blade Tidwell","San Francisco Giants","SF","","3.18","3.21","",""
"Buddy Kennedy","San Francisco Giants","SF","","36.00","9.10","",""
"Carson Seymour","San Francisco Giants","SF","","14.54","6.56","",""
"Carson Whisenhunt","San Francisco Giants","SF","","6.63","6.04","",""
"Christian Koss","San Francisco Giants","SF","","13.50","3.10","",""
"Dylan Smith","San Francisco Giants","SF","","2.75","3.76","",""
"Gregory Santos","San Francisco Giants","SF","","3.60","4.50","",""
"Jason Foley","San Francisco Giants","SF","","5.06","5.35","",""
"Joel Peguero","San Francisco Giants","SF","","2.38","3.80","",""
"José Buttó","San Francisco Giants","SF","","22.50","17.10","",""
"JT Brubaker","San Francisco Giants","SF","","3.04","3.96","",""
"Keaton Winn","San Francisco Giants","SF","","3.03","3.48","",""
"Landen Roupp","San Francisco Giants","SF","R","4.34","3.48","",""
"Logan Webb","San Francisco Giants","SF","","3.74","3.30","",""
"Matt Gage","San Francisco Giants","SF","","5.60","6.31","",""
"Reiver Sanmartin","San Francisco Giants","SF","","6.75","11.60","",""
"Robbie Ray","San Francisco Giants","SF","","3.08","4.36","",""
"Ryan Borucki","San Francisco Giants","SF","","4.94","4.87","",""
"Ryan Walker","San Francisco Giants","SF","","7.52","5.45","",""
"Sam Hentges","San Francisco Giants","SF","","2.52","3.50","",""
"Spencer Bivens","San Francisco Giants","SF","","0.00","1.60","",""
"Trevor McDonald","San Francisco Giants","SF","","5.12","4.26","",""
"Tristan Beck","San Francisco Giants","SF","","6.92","5.48","",""
"Tyler Mahle","San Francisco Giants","SF","","5.13","4.37","",""
"Wilkin Ramos","San Francisco Giants","SF","","22.50","8.10","",""
"Andre Pallante","St. Louis Cardinals","STL","","3.72","3.75","",""
"Bruce Zimmermann","St. Louis Cardinals","STL","","5.40","2.90","",""
"Bryan Torres","St. Louis Cardinals","STL","","0.00","4.60","",""
"Brycen Mautz","St. Louis Cardinals","STL","","6.00","3.76","",""
"Caleb Ferguson","St. Louis Cardinals","STL","","3.76","4.08","",""
"Dustin May","St. Louis Cardinals","STL","","4.38","3.14","",""
"George Soriano","St. Louis Cardinals","STL","","3.62","4.20","",""
"Gordon Graceffo","St. Louis Cardinals","STL","","3.04","4.46","",""
"Hunter Dobbins","St. Louis Cardinals","STL","","3.60","4.37","",""
"Jared Shuster","St. Louis Cardinals","STL","","9.00","5.65","",""
"JoJo Romero","St. Louis Cardinals","STL","","3.35","4.00","",""
"Justin Bruihl","St. Louis Cardinals","STL","","3.64","3.92","",""
"Kyle Leahy","St. Louis Cardinals","STL","","3.44","3.97","",""
"Luis Gastelum","St. Louis Cardinals","STL","","7.94","7.60","",""
"Matt Pushard","St. Louis Cardinals","STL","","5.14","3.52","",""
"Matt Svanson","St. Louis Cardinals","STL","","7.27","4.30","",""
"Matthew Liberatore","St. Louis Cardinals","STL","L","4.97","4.64","",""
"Max Rajcic","St. Louis Cardinals","STL","","5.00","4.76","",""
"Michael McGreevy","St. Louis Cardinals","STL","","3.59","4.23","",""
"Peter Strzelecki","St. Louis Cardinals","STL","","5.79","4.81","",""
"Quinn Mathews","St. Louis Cardinals","STL","","3.60","3.70","",""
"Riley O'Brien","St. Louis Cardinals","STL","","3.43","3.45","",""
"Ryan Fernandez","St. Louis Cardinals","STL","","2.70","2.65","",""
"Ryne Stanek","St. Louis Cardinals","STL","","4.74","5.11","",""
"Aaron Brooks","Tampa Bay Rays","TB","","81.00","60.10","",""
"Alex Cook","Tampa Bay Rays","TB","","7.36","7.19","",""
"Ben Williamson","Tampa Bay Rays","TB","","3.60","6.30","",""
"Bryan Baker","Tampa Bay Rays","TB","","1.45","2.68","",""
"Cam Booser","Tampa Bay Rays","TB","","1.93","3.27","",""
"Casey Legumina","Tampa Bay Rays","TB","","4.47","4.13","",""
"Chase Solesky","Tampa Bay Rays","TB","","6.00","5.76","",""
"Chris Roycroft","Tampa Bay Rays","TB","","8.24","8.08","",""
"Cole Sulser","Tampa Bay Rays","TB","","4.86","3.61","",""
"Craig Kimbrel","Tampa Bay Rays","TB","","4.81","4.34","",""
"Drew Rasmussen","Tampa Bay Rays","TB","","2.91","3.01","",""
"Freddy Peralta","Tampa Bay Rays","TB","","5.37","4.60","",""
"Garrett Cleavinger","Tampa Bay Rays","TB","","3.27","3.34","",""
"Griffin Jax","Tampa Bay Rays","TB","R","3.63","3.95","",""
"Hunter Bigge","Tampa Bay Rays","TB","","6.98","4.49","",""
"Ian Seymour","Tampa Bay Rays","TB","","4.27","3.89","",""
"Jesse Scholtens","Tampa Bay Rays","TB","","3.82","5.38","",""
"Joe Boyle","Tampa Bay Rays","TB","","5.17","3.03","",""
"Jonathan Heasley","Tampa Bay Rays","TB","","11.25","8.60","",""
"Kevin Kelly","Tampa Bay Rays","TB","","2.12","3.11","",""
"Mason Englert","Tampa Bay Rays","TB","","4.54","5.34","",""
"Michael Grove","Tampa Bay Rays","TB","","3.60","4.10","",""
"Nick Martinez","Tampa Bay Rays","TB","","2.77","4.12","",""
"Shane McClanahan","Tampa Bay Rays","TB","","3.09","3.36","",""
"Steven Matz","Tampa Bay Rays","TB","","5.97","5.38","",""
"Trevor Martin","Tampa Bay Rays","TB","","3.97","8.04","",""
"Ben Peoples","Texas Rangers","TEX","","2.19","6.26","",""
"Cal Quantrill","Texas Rangers","TEX","","3.62","4.69","",""
"Carter Baumler","Texas Rangers","TEX","","3.18","6.98","",""
"Chase Silseth","Texas Rangers","TEX","","3.05","3.82","",""
"Chris Martin","Texas Rangers","TEX","","9.00","6.17","",""
"Chris Paddack","Texas Rangers","TEX","","6.79","4.85","",""
"Cole Winn","Texas Rangers","TEX","","6.27","4.52","",""
"Emiliano Teodo","Texas Rangers","TEX","","10.80","5.50","",""
"Gavin Collyer","Texas Rangers","TEX","","5.09","5.01","",""
"Jack Leiter","Texas Rangers","TEX","","5.29","4.76","",""
"Jacob deGrom","Texas Rangers","TEX","","3.96","3.32","",""
"Jacob Latz","Texas Rangers","TEX","","1.80","2.50","",""
"Jakob Junis","Texas Rangers","TEX","","2.70","3.00","",""
"Jalen Beeks","Texas Rangers","TEX","","3.81","5.40","",""
"Joe Ross","Texas Rangers","TEX","","9.26","6.78","",""
"Jose Corniell","Texas Rangers","TEX","","20.77","10.02","",""
"Kumar Rocker","Texas Rangers","TEX","R","4.08","4.16","",""
"Kyle Higashioka","Texas Rangers","TEX","","21.00","9.43","",""
"Luis Curvelo","Texas Rangers","TEX","","9.58","9.00","",""
"MacKenzie Gore","Texas Rangers","TEX","","4.55","3.77","",""
"Marco Gonzales","Texas Rangers","TEX","","1.50","4.10","",""
"Nathan Eovaldi","Texas Rangers","TEX","","4.31","4.30","",""
"Nicky Lopez","Texas Rangers","TEX","","9.00","1.10","",""
"Nolan Kingham","Texas Rangers","TEX","","9.00","7.10","",""
"Peyton Gray","Texas Rangers","TEX","","3.53","3.63","",""
"Robby Ahlstrom","Texas Rangers","TEX","","4.50","3.87","",""
"Robert Garcia","Texas Rangers","TEX","","3.38","4.22","",""
"Sam Haggerty","Texas Rangers","TEX","","0.00","6.10","",""
"Tyler Alexander","Texas Rangers","TEX","","3.35","2.87","",""
"Winston Santos","Texas Rangers","TEX","","9.00","10.10","",""
"Adam Macko","Toronto Blue Jays","TOR","","4.91","4.55","",""
"Braydon Fisher","Toronto Blue Jays","TOR","","3.93","4.24","",""
"Brendon Little","Toronto Blue Jays","TOR","","12.00","6.93","",""
"Chad Dallas","Toronto Blue Jays","TOR","","8.22","5.57","",""
"Chase Lee","Toronto Blue Jays","TOR","","8.10","13.90","",""
"CJ Van Eyk","Toronto Blue Jays","TOR","","4.76","6.10","",""
"Cody Ponce","Toronto Blue Jays","TOR","","3.86","1.81","",""
"Dylan Cease","Toronto Blue Jays","TOR","","2.41","2.30","",""
"Jeff Hoffman","Toronto Blue Jays","TOR","","3.94","2.49","",""
"Joe Mantiply","Toronto Blue Jays","TOR","","2.04","2.87","",""
"Josh Fleming","Toronto Blue Jays","TOR","","12.00","9.76","",""
"Kevin Gausman","Toronto Blue Jays","TOR","","4.38","3.50","",""
"Lazaro Estrada","Toronto Blue Jays","TOR","","4.82","6.20","",""
"Louis Varland","Toronto Blue Jays","TOR","","1.11","1.60","",""
"Mason Fluharty","Toronto Blue Jays","TOR","","4.33","3.92","",""
"Max Scherzer","Toronto Blue Jays","TOR","R","7.92","6.98","",""
"Myles Straw","Toronto Blue Jays","TOR","","0.00","4.10","",""
"Patrick Corbin","Toronto Blue Jays","TOR","","5.51","4.63","",""
"Shane Bieber","Toronto Blue Jays","TOR","","5.11","5.66","",""
"Simeon Woods Richardson","Toronto Blue Jays","TOR","","6.40","5.82","",""
"Spencer Miles","Toronto Blue Jays","TOR","","3.13","2.91","",""
"Tanner Andrews","Toronto Blue Jays","TOR","","0.00","4.43","",""
"Trey Yesavage","Toronto Blue Jays","TOR","","3.65","4.08","",""
"Tyler Rogers","Toronto Blue Jays","TOR","","1.62","2.86","",""
"Yariel Rodríguez","Toronto Blue Jays","TOR","","7.71","7.17","",""
"Andre Granillo","Washington Nationals","WSH","","9.64","8.13","",""
"Andrew Alvarez","Washington Nationals","WSH","","3.94","3.13","",""
"Brad Lord","Washington Nationals","WSH","","3.88","4.22","",""
"Cade Cavalli","Washington Nationals","WSH","R","3.52","3.40","",""
"Carson Palmquist","Washington Nationals","WSH","","7.71","4.07","",""
"Clayton Beeter","Washington Nationals","WSH","","4.09","5.49","",""
"Cole Henry","Washington Nationals","WSH","","7.90","6.90","",""
"Eddy Yean","Washington Nationals","WSH","","1.80","4.10","",""
"Foster Griffin","Washington Nationals","WSH","","3.06","4.09","",""
"Gus Varland","Washington Nationals","WSH","","6.82","5.50","",""
"Jackson Rutledge","Washington Nationals","WSH","","47.25","4.60","",""
"Jake Irvin","Washington Nationals","WSH","","5.56","4.67","",""
"Joey Wiemer","Washington Nationals","WSH","","22.50","14.10","",""
"Jorbit Vivas","Washington Nationals","WSH","","16.88","10.22","",""
"Julian Fernández","Washington Nationals","WSH","","2.25","6.35","",""
"Justin Lawrence","Washington Nationals","WSH","","7.34","6.97","",""
"Ken Waldichuk","Washington Nationals","WSH","","6.75","9.20","",""
"Matt Krook","Washington Nationals","WSH","","10.80","8.38","",""
"Max Kranick","Washington Nationals","WSH","","9.53","6.98","",""
"Miles Mikolas","Washington Nationals","WSH","","5.67","5.85","",""
"Mitchell Parker","Washington Nationals","WSH","","6.58","5.47","",""
"Orlando Ribalta","Washington Nationals","WSH","","3.58","3.43","",""
"Paxton Schultz","Washington Nationals","WSH","","6.40","4.33","",""
"PJ Poulin","Washington Nationals","WSH","","2.70","4.95","",""
"Richard Lovelady","Washington Nationals","WSH","","3.86","5.40","",""
"Riley Cornelio","Washington Nationals","WSH","","5.40","4.75","",""
"Tom Cosgrove","Washington Nationals","WSH","","3.52","4.66","",""
"Trevor Williams","Washington Nationals","WSH","","0.00","1.50","",""
"Zack Littell","Washington Nationals","WSH","","4.97","5.76","",""
"Zak Kent","Washington Nationals","WSH","","6.28","5.75","",""
